# Archimedes Model Dataset: US vs UK Log Ratios
# Period: 1850-1960
# 
# Variable Definitions (following Archimedes model specification):
# - wheat_affordability_ratio: -ln(A_US/A_UK) where A = wheat_price/gdp_per_capita
#   Positive values = wheat more affordable in US relative to UK
# - gdp_ratio_us_uk: ln(GDP_US/GDP_UK)
#   Positive values = US GDP larger than UK GDP
# - military_expenditure_ratio_us_uk: ln(S_US/S_UK) where S = global military expenditure share
#   Positive values = US has larger share of global military expenditures than UK
# - military_personnel_ratio_us_uk: ln(S_US/S_UK) where S = global military personnel share
#   Positive values = US has larger share of global military personnel than UK
# - composite_military_ratio_us_uk: average of expenditure and personnel ratios
#   Positive values = US military dominance over UK
# 
# All ratios follow log(US/UK) convention from Archimedes model
# Missing values indicate data not available for that year
#
year,wheat_affordability_ratio,log_wheat_affordability_ratio,gdp_ratio_us_uk,military_expenditure_ratio_us_uk,military_personnel_ratio_us_uk,composite_military_ratio_us_uk
1908,-1.145693253582287,-1.145693253582287,0.8871125149073531,0.04595688998281663,-1.0373414632750686,-0.49569228664612597
1909,-1.17419061797111,-1.17419061797111,0.9729322381485813,-0.006299429042027055,-0.98697231752544,-0.49663587328373354
1910,-1.2420530978294995,-1.2420530978294995,0.9473290063838712,-0.09448013540625953,-0.9844199211424549,-0.5394500282743572
1911,-1.098477408282051,-1.098477408282051,0.9454334811186866,-0.1333279847768713,-0.9528554009693201,-0.5430916928730957
1912,-0.9162541405154634,-0.9162541405154634,0.9717290784796674,-0.14147331072369396,-1.2291435426724875,-0.6853084266980907
1913,-0.9482869068682243,-0.9482869068682243,0.9676849362616614,-0.07523518607780887,-1.235096307246598,-0.6551657466622034
1914,-1.1908360515808554,-1.1908360515808554,0.8826936380217045,-1.891660707354457,-1.164655700985101,-1.528158204169779
1915,-1.3226968382357978,-1.3226968382357978,0.8375458294801443,-2.8933287862823516,-3.2188758248682006,-3.0561023055752763
1916,-0.8467296697351314,-0.8467296697351314,0.9498024800403332,-3.1089266773860933,,
1917,-1.0823327328642696,-1.0823327328642696,0.9206590301529421,-2.445871711926283,-1.9284561369348276,-2.187163924430555
1918,-1.164192890303017,-1.164192890303017,1.0058905710209545,-0.1444499704505744,-0.37663323063891563,-0.260541600544745
1919,-0.9836640776087724,-0.9836640776087724,1.1360467542084582,2.711592008894017,-0.12786747152523328,1.291862268684392
1920,-0.5776372235595599,-0.5776372235595599,1.1948105377218237,0.11597392394226723,-0.55251021989941,-0.21826814797857136
1921,-0.42337345064106197,-0.42337345064106197,1.2589803926137961,0.30277952567351607,-0.14636853938520336,0.07820549314415635
1922,-0.6723108314611865,-0.6723108314611865,1.2155551108320952,0.4498107447917378,-0.3096609791705561,0.07007488281059085
1923,-0.8213859974948807,-0.8213859974948807,1.3022188089768107,0.14923519186090514,-0.3106945937243844,-0.08072970093173963
1924,-0.7791870946123444,-0.7791870946123444,1.2859093535838753,-0.024429827947034292,-0.2555625230296683,-0.1399961754883513
1925,-0.9393936039892511,-0.9393936039892511,1.2554695718246796,0.015887634342754888,-0.30538164955118174,-0.14474700760421344
1926,-1.0059733199614633,-1.0059733199614633,1.3499777620410904,-0.008304075431027451,-0.3224941406555397,-0.1653991080432836
1927,-0.8863455693590695,-0.8863455693590695,1.2764570083202502,0.04904400987452379,-0.30559299901831116,-0.1282744945718937
1928,-0.8502520340686951,-0.8502520340686951,1.2695648891973677,0.22224254162498128,-0.27363971532874204,-0.02569858685188038
1929,-1.3306673601783836,-1.3306673601783836,1.2940626513819553,0.2712411348966958,-0.2425616371713112,0.014339748862692306
1930,-2.1428826622233044,-2.1428826622233044,1.2014364064028917,0.3112587461487437,-0.21687393830061444,0.04719240392406464
1931,-2.209880685909204,-2.209880685909204,1.1878683257965572,0.3564296906112547,-0.23180161405732444,0.06231403827696512
1932,-2.1431154377199078,-2.1431154377199078,1.016940541707218,0.6751002866109176,-0.25764356333255395,0.20872836163918182
