# Wheat Affordability Analysis: Income-Deflated Price Index (Option A)
# Methodology: A_{i,t} = p_{i,t} / y^{pc}_{i,t}
# 
# Column Definitions:
# - affordability_index: Fraction of annual income needed to buy 1 kg wheat (unit-free)
# - log_affordability_index: Natural log of affordability index (for regression)
# - kg_wheat_per_1pct_gdp: Kg of wheat purchasable with 1% of GDP per capita
# - affordability_percentage: Affordability index as percentage
# 
# Lower affordability_index values = wheat more affordable
# Higher kg_wheat_per_1pct_gdp values = wheat more affordable
#
year,country,wheat_price_nominal,gdp_per_capita,affordability_index,log_affordability_index,kg_wheat_per_1pct_gdp,affordability_percentage
1889,UK,25.346999999999998,6876.0,0.0036863001745200694,-5.603131986663922,2.71274707065925,0.36863001745200696
1890,UK,28.881916666666665,6845.0,0.004219418066715364,-5.468058059325757,2.3699950661169185,0.4219418066715364
1891,UK,28.034833333333335,6781.0,0.004134321388192499,-5.488432078075642,2.418776640964514,0.4134321388192499
1892,UK,27.215333333333334,6553.0,0.004153110534615189,-5.483897699080874,2.4078338191705657,0.41531105346151886
1893,UK,24.86108333333333,6486.0,0.003833037825059101,-5.564097624367578,2.6088967697170617,0.3833037825059101
1894,UK,26.430583333333335,6851.0,0.0038579161193013187,-5.557628106751208,2.5920729457982703,0.3857916119301319
1895,UK,22.277833333333334,6996.0,0.003184367257480465,-5.749501672965612,3.140341295906993,0.3184367257480465
1896,UK,22.38891666666667,7211.0,0.0031048282716220595,-5.774796872172222,3.2207900486475816,0.31048282716220593
1897,UK,23.222166666666666,7229.0,0.003212362244662701,-5.740748710719065,3.1129739544831447,0.3212362244662701
1898,UK,26.92358333333333,7500.0,0.003589811111111111,-5.629655693155566,2.7856618887406643,0.3589811111111111
1899,UK,26.055583333333335,7729.0,0.003371145469444085,-5.692502690459244,2.9663507821420234,0.3371145469444085
1900,UK,25.194416666666665,7594.0,0.00331767404090949,-5.708491331669161,3.014159883307479,0.33176740409094896
1901,UK,25.041666666666668,7516.0,0.0033317810892318613,-5.7042482563460934,3.0013976705490846,0.3331781089231861
1902,UK,25.923666666666666,7635.0,0.0033953721894782797,-5.6853418952679595,2.9451852232837434,0.33953721894782796
1903,UK,23.347250000000003,7482.0,0.0031204557604918473,-5.769776210748244,3.2046600777393484,0.3120455760491847
1904,UK,21.874916666666667,7455.0,0.0029342611222892916,-5.831299604486226,3.4080129829066013,0.29342611222892917
1905,UK,24.500083333333333,7603.0,0.0032224231662940066,-5.737621666322996,3.103254750834181,0.32224231662940067
1906,UK,24.17358333333333,7782.0,0.003106345840829264,-5.774308214404808,3.219216569050927,0.3106345840829264
1907,UK,24.409666666666666,7855.0,0.003107532357309569,-5.773926321983717,3.21798740935968,0.3107532357309569
1908,UK,25.708333333333332,7461.0,0.003445695393825671,-5.670629538914072,2.9021717990275526,0.3445695393825671
1909,UK,26.944416666666665,7557.0,0.0035654911561025095,-5.636453462907768,2.8046626852192635,0.35654911561025093
1910,UK,23.73608333333333,7718.0,0.003075418934093461,-5.784314148273728,3.2515895278988043,0.30754189340934607
1911,UK,24.79858333333333,7874.0,0.0031494263821860973,-5.760534943620279,3.1751813779685,0.31494263821860974
1912,UK,31.222166666666666,7954.0,0.003925341547229905,-5.540301913131123,2.5475490169911335,0.3925341547229905
1913,UK,27.833333333333332,8212.0,0.003389348920279266,-5.687117434950125,2.950419161676647,0.3389348920279266
1914,UK,26.833416666666665,8131.0,0.0033001373344812034,-5.7137911948661895,3.0301769249163826,0.33001373344812035
1915,UK,32.354166666666664,8639.0,0.003745128680016977,-5.587299302118088,2.6701352221506762,0.3745128680016977
1916,UK,48.805749999999996,8702.0,0.005608566996092852,-5.18346002949383,1.7829866357959872,0.5608566996092852
1917,UK,64.47925,8665.0,0.00744134448932487,-4.900703735532628,1.3438431743545405,0.7441344489324869
1918,UK,56.65966666666666,8630.0,0.006565430668211664,-5.025937172737472,1.5231293277404858,0.6565430668211664
1919,UK,63.13191666666666,7605.0,0.008301369712908175,-4.791334752143232,1.2046204838281747,0.8301369712908174
1920,UK,94.54858333333334,7017.0,0.013474217376846707,-4.3069772435140825,0.7421581321066858,1.3474217376846707
1921,UK,62.59708333333333,6792.0,0.009216296132705143,-4.686782043089853,1.0850345796196577,0.9216296132705143
1922,UK,45.29858333333333,7391.0,0.006128884228566275,-5.094742563779758,1.6316183545107186,0.6128884228566275
1923,UK,33.48608333333333,7587.0,0.004413613198014147,-5.423061605704618,2.2657173502425136,0.4413613198014147
1924,UK,40.034666666666666,7844.0,0.005103858575556688,-5.277758441874343,1.9593019383201227,0.5103858575556688
1925,UK,46.861916666666666,8199.0,0.005715564906289385,-5.16456214037547,1.7496083351264264,0.5715564906289385
1926,UK,37.27333333333333,7868.0,0.004737332655482122,-5.35228103257856,2.1108925058129135,0.4737332655482122
1927,UK,40.89083333333333,8472.0,0.004826585615360403,-5.333615973231377,2.071857995883348,0.48265856153604025
1928,UK,41.13916666666667,8539.0,0.004817796775578718,-5.33543855592425,2.0756375716571798,0.48177967755787177
1929,UK,23.505958333333336,8772.0,0.002679657812737498,-5.922066174425755,3.731819769101097,0.2679657812737498
1930,UK,8.944416666666667,8673.0,0.0010312944386794266,-6.8769405291910415,9.696551852645504,0.10312944386794266
1931,UK,6.013916666666667,8190.0,0.0007342999592999593,-7.2165929489337035,13.618412847977607,0.07342999592999594
1932,UK,6.020833333333333,8206.0,0.0007337111056950199,-7.21739519579759,13.629342560553635,0.07337111056950199
1933,UK,5.576333333333333,8411.0,0.0006629810169222843,-7.318764200281404,15.083388128399784,0.06629810169222843
1934,UK,4.708166666666667,8939.0,0.0005266994816720737,-7.548880415580078,18.98615880208149,0.05266994816720737
