Year,Wheat,Rye,Barley,Oats,Peas,Beans,Potato,Hops,Net,Straw,Mustard,Saffron,source,country,currency,period,avg_grain_price,avg_legume_price,grain_price_volatility,grain_price_trend,Rye_relative_to_wheat,Barley_relative_to_wheat,Oats_relative_to_wheat,century,period_classification
1255,0.31,0.19,0.14,0.29,,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,0.23249999999999998,,0.1522314184454206,0.3920588235294118,0.6129032258064516,0.4516129032258065,0.9354838709677419,1200,High_Medieval
1256,,,,,,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,,,0.142239737264742,0.4023529411764706,,,,1200,High_Medieval
1257,0.75,0.52,0.26,0.72,,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,0.5625,,0.14375698740781753,0.40647058823529414,0.6933333333333334,0.3466666666666667,0.96,1200,High_Medieval
1258,0.85,0.54,0.29,0.75,,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,0.6075,,0.13597531288541204,0.4085294117647059,0.6352941176470589,0.3411764705882353,0.8823529411764706,1200,High_Medieval
1259,,,,,,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,,,0.13907699563294318,0.395,,,,1200,High_Medieval
1260,0.45,,,,,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,0.45,,0.11873543143717216,0.40602941176470586,,,,1200,High_Medieval
1261,0.47,,,,,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,0.47,,0.08876886117488324,0.40875,,,,1200,High_Medieval
1262,0.51,,,,,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,0.51,,0.09576537445467662,0.4173611111111111,,,,1200,High_Medieval
1263,0.44,0.32,0.22,0.44,,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,0.355,,0.09055385138137409,0.43763888888888886,0.7272727272727273,0.5,1.0,1200,High_Medieval
1264,0.42,,,,,,,,,,,,Agprice_table_PDF,England,shillings,Medieval_to_Modern,0.42,,0.08376969088585141,0.43986111111111115,,,,1200,High_Medieval
