country,year,mortality_rate
United States,2020,6.62
United States,2021,6.64
United States,2022,6.62
United States,2023,6.57
United States,2024,6.48
United States,2025,6.35
United States,2026,6.19
United States,2027,5.99
United States,2028,5.79
United States,2029,5.58
United States,2030,5.37
United States,2031,5.18
United States,2032,5.0
United States,2033,4.84
United States,2034,4.7
United States,2035,4.58
United States,2036,4.48
United States,2037,4.38
United States,2038,4.29
United States,2039,4.21
United States,2040,4.12
United States,2041,4.03
United States,2042,3.95
United States,2043,3.87
United States,2044,3.79
United States,2045,3.71
United States,2046,3.64
United States,2047,3.56
United States,2048,3.5
United States,2049,3.43
United States,2050,3.37
United States,2051,3.31
United States,2052,3.25
United States,2053,3.19
United States,2054,3.14
United States,2055,3.09
United States,2056,3.04
United States,2057,2.99
United States,2058,2.94
United States,2059,2.89
United States,2060,2.85
United States,2061,2.81
United States,2062,2.76
United States,2063,2.72
United States,2064,2.68
United States,2065,2.64
United States,2066,2.6
United States,2067,2.57
United States,2068,2.53
United States,2069,2.49
United States,2070,2.46
United States,2071,2.43
United States,2072,2.39
United States,2073,2.36
United States,2074,2.33
United States,2075,2.3
United States,2076,2.27
United States,2077,2.24
United States,2078,2.21
United States,2079,2.18
United States,2080,2.16
United States,2081,2.13
United States,2082,2.1
United States,2083,2.07
United States,2084,2.05
United States,2085,2.02
United States,2086,2.0
United States,2087,1.97
United States,2088,1.95
United States,2089,1.92
United States,2090,1.9
United States,2091,1.87
United States,2092,1.85
United States,2093,1.83
United States,2094,1.81
United States,2095,1.78
United States,2096,1.76
United States,2097,1.74
United States,2098,1.72
United States,2099,1.7
United States,2100,1.7
